number,title,authors,source_venue,track,openreview_submission_number,decision,archival_status,paper_type,aclpubcheck_status,aclpubcheck_summary,openreview_url,pdf_path,supplementary_files,aclpubcheck_pdf_sha256,checked_at_utc
059,CITECHECK: Retrieval-Grounded Detection of LLM Citation Hallucinations in Scientific Text,Khashayar Khajavi; Shaghayegh Sadeghi; Rise Adhikari; Alexander Tessier,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,88,Accept,archival,long,pass,All Clear!,https://openreview.net/forum?id=sOnBJ23mc8,all_papers/059/paper.pdf,,250cc90d391ef490e21b5862b498758636a943226bc536b50e999b2b3b7a87ef,2026-09-23T14:33:33Z
060,GRACE: Generating Conflict-Aware Cases for Evaluating Policy Compliance in Enterprise Conversational AI,Jinwon Kim; Kyunghyun Lim; Gayeon Kim; Sookeun Yun; Min-Oh Heo,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,90,Accept,archival,long,pass,All Clear!,https://openreview.net/forum?id=IJonLABNmk,all_papers/060/paper.pdf,,ba93bdac16140631e3b7fc49d133d57bcc582daba3b18af264d0f18dcdc62e11,2026-09-23T14:33:38Z
061,StreamSense: A Content- and Resource-Aware Edge Agent for Adaptive Bitrate Streaming,Chuanqi Jiang; Linhan Li; Zhiguo Tao,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,91,Accept,archival,long,pass,All Clear!,https://openreview.net/forum?id=W10I1PUXWq,all_papers/061/paper.pdf,,efb00f71d66f03cce6bea76ec4a1bb9111bcff7816e2b3bf741b0a454dc95576,2026-09-23T14:33:42Z
062,From Position Bias to Position-Stable Agreement: Testing What LLM Judges Evaluate,Lixin Liu; Xiankun Lin; Zhezheng Hao,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,93,Accept,archival,long,pass,All Clear!,https://openreview.net/forum?id=KpeFfsulxk,all_papers/062/paper.pdf,all_papers/062/supplementary/Supplementary_material.zip,880d2c479990288ccdb0de72422376db86d48040ce26e5422393cfe9d12fe28c,2026-09-23T14:33:48Z
063,Preserving Evidence Anchors: Query-Rewriting Guardrails for Retrieval-Side Grounding,Varun Kotte; Chirag Arora,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,96,Accept,archival,long,pass,All Clear!,https://openreview.net/forum?id=IvEoe3m7rm,all_papers/063/paper.pdf,all_papers/063/supplementary/Supplementary_material.zip,3eb39d71098a69de05e42d0d83519973a467b054cdfa957a61714d35117d2044,2026-09-23T14:33:52Z
064,"Grounding Creative Query Suggestions, Faithfully and Efficiently: From Corpus-Grounded Supervision to Reinforcement Learning",Harshit Jain; Vedanth Subramaniam; Twisha Naik; Chirag Arora; Vipul Jain,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,97,Accept,archival,long,pass,All Clear!,https://openreview.net/forum?id=EU8iYRGeVx,all_papers/064/paper.pdf,all_papers/064/supplementary/Supplementary_material.pdf,4853a54634a0a897ab6e96f7bc8f61963425c97e890d802e7c1f31e6a2ed941c,2026-09-23T14:33:56Z
065,The Coin Flip Judge? Reliability and Bias in LLM-as-a-Judge Evaluation,Abel Yagubyan,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,98,Accept,archival,long,pass,All Clear!,https://openreview.net/forum?id=bAABRmjFLs,all_papers/065/paper.pdf,all_papers/065/supplementary/Supplementary_material.zip,af22dd77974b2abab34f66fec1942b22aecee217e833bac326ee3598c4667aa9,2026-09-23T14:34:00Z
066,The Attribution–Compression Frontier in Retrieval-Augmented Generation,Deepanshu Mody,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,99,Accept,archival,long,pass,All Clear!,https://openreview.net/forum?id=u6OeYQrjjF,all_papers/066/paper.pdf,,722658943174d0dd87ee51bd9685512b46ce086ec0bf477f073ede9efee929b5,2026-09-23T14:34:05Z
067,"Budget-Aware Compression Pipeline for Single-GPU LLM Inference: Methods, Trade-offs, and Coupling Effects",Hongyu Yu; Yifei Shen,EMNLP/2026/Workshop/GroundLM_ARR_Commitment,Track 2: ARR Commitment,2,Accept,archival,long,pass,All Clear!,https://openreview.net/forum?id=47Ey91RdfD,all_papers/067/paper.pdf,,8b54238302e7d18c29074a8882445768b4dd1f1f836c06690ac48c726129c312,2026-09-23T14:34:09Z
068,Leveraging Low-Level Symbolic Competences for Unsupervised Grounding in Hallucination Detection,Renato Vukovic; Hsien-chin Lin; Carel van Niekerk; Benjamin Matthias Ruppik; Michael Heck; Shutong Feng; Nurul Lubis; Milica Gasic,EMNLP/2026/Workshop/GroundLM_ARR_Commitment,Track 2: ARR Commitment,3,Accept,archival,long,pass,All Clear!,https://openreview.net/forum?id=SSC0iDDG83,all_papers/068/paper.pdf,,789140265c4193cf30f78b2a6d7c12cdda4d894f34deb1e28aa372c6c44cb93f,2026-09-23T14:34:14Z
069,The Coverage Illusion: From Pre-retrieval Routing Failure to Post-retrieval Cascades in a Production RAG System,Zafar Hussain; Kristoffer Nielbo,EMNLP/2026/Workshop/GroundLM_ARR_Commitment,Track 2: ARR Commitment,4,Accept,archival,long,pass,All Clear!,https://openreview.net/forum?id=iUcomsGGnz,all_papers/069/paper.pdf,,e94708cb54ff0c10e512c527ce77062e6a83c98e697c30a155334eec133786c5,2026-09-23T14:34:19Z
070,When Models Defer to Wrong Answers: A Robustness Audit of Source-Attributed Cues in Multiple-Choice QA,Manikandan Ravikiran; Siddharth Vohra,EMNLP/2026/Workshop/GroundLM_ARR_Commitment,Track 2: ARR Commitment,7,Accept,archival,long,pass,All Clear!,https://openreview.net/forum?id=2tSkWhDBrE,all_papers/070/paper.pdf,,59f6881988c517c5ff29a4e754a5b98b9df846811039e1dd10e2b921f0958214,2026-09-23T14:34:23Z
071,Does the Selected Object Reach the Reader? Auditing Identity Handoffs in Grounded Language-Model Pipelines,Siddharth Vohra; Runmin Jiang; Xiaomo Li; Min Xu,EMNLP/2026/Workshop/GroundLM_ARR_Commitment,Track 2: ARR Commitment,8,Accept,archival,long,pass,All Clear!,https://openreview.net/forum?id=hSlA52KOs0,all_papers/071/paper.pdf,,aadfe7f14018e29c59668d514006a188587912e0cf37b4fd2b101e444892f632,2026-09-23T14:34:28Z
072,Learning from Dialogue Traces: Retrieval-Guided Tool Use and Response Generation for Task-Oriented Dialogue Agents,Wiradee Imrattanatrai; Ken Fukuda; Masahiro Hamasaki,EMNLP/2026/Workshop/GroundLM_ARR_Commitment,Track 2: ARR Commitment,14,Accept,archival,long,pass,All Clear!,https://openreview.net/forum?id=auSIhprluC,all_papers/072/paper.pdf,all_papers/072/supplementary/Supplementary_material.zip,975983309c94cbbb3448a4b28ae1a13fb70f41a44e37050bdbc1024ac772e2de,2026-09-23T14:34:33Z
073,Enhancing Small Language Models in RAG via Triplet-Guided In-Context Distillation,Ilia Tambovtsev; Maria Molchanova; Anna Mikhailova; Alexey Korotkov; Ivan Sgibnev; Iurii Vizilter; Andrey Savchenko,EMNLP/2026/Workshop/GroundLM_ARR_Commitment,Track 2: ARR Commitment,15,Accept,archival,short,pass,All Clear!,https://openreview.net/forum?id=gBTqAG8sQw,all_papers/073/paper.pdf,,4ecc629ff38fa9f87aa5c04e3863896f5fbf28befe2d26b996c815239e1fb8c3,2026-09-24T23:18:38Z
074,Why Your Deep Research Agent Fails? On Hallucination Evaluation in Full Research Trajectory,Yuhao Zhan; Tianyu Fan; Lingxuan Huang; Zirui Guo; Chao Huang,EMNLP/2026/Workshop/GroundLM_ARR_Commitment,Track 2: ARR Commitment,16,Accept,archival,long,pass,All Clear!,https://openreview.net/forum?id=H9ciSraR2I,all_papers/074/paper.pdf,all_papers/074/supplementary/Supplementary_material.zip,7cd0ac297db3aa95d67822fee8f56442386a57ab87575fbe71c5e640a6eac442,2026-09-23T14:34:47Z
075,A Modular Approach to Conversational Object Grounding in 3D Scenes Using VLMs and Prompt Chaining,Simon Keizer; Mohan Li; Youmna Farag; Svetlana Stoyanchev; Rama Doddipatla,EMNLP/2026/Workshop/GroundLM_ARR_Commitment,Track 2: ARR Commitment,18,Accept,archival,long,pass,All Clear!,https://openreview.net/forum?id=O0PnzSpfIT,all_papers/075/paper.pdf,,82a5f470fb4d25fb42d8ff319d9bcde98def9590f9c8f3735c946c794c831533,2026-09-23T14:34:52Z
076,BAND: Bias-Aware Retrieval Debiasing for Demographic Robustness in Retrieval-Augmented Medical Question Answering,Harim Lee; DASOM LEE; Chaehyun Ryu,EMNLP/2026/Workshop/GroundLM_ARR_Commitment,Track 2: ARR Commitment,23,Accept,archival,short,pass,All Clear!,https://openreview.net/forum?id=NDxQ0ZpjFP,all_papers/076/paper.pdf,,10b587822481ebcb402bb0cbe3d6818aaf08c841261b966de4df7328ac6c634c,2026-09-23T14:34:55Z
077,Agents Out of Bounds: A Taxonomy of Architectural Drift and a Deployment-Ready Guardrail Framework for LLM Coding Agents,Saurabh Yergattikar,EMNLP/2026/Workshop/GroundLM_ARR_Commitment,Track 2: ARR Commitment,24,Accept,archival,long,pass,All Clear!,https://openreview.net/forum?id=wv9GCr1SyG,all_papers/077/paper.pdf,all_papers/077/supplementary/Supplementary_material.zip,1d1ec2686ef65419ea294450b0698cac09890ade17a143deb73344feab43ab38,2026-09-26T16:47:36Z
078,When Targeted Grounded Gains Hide Complementary Abstraction Regression: DION-Bench and a Conjunctive Evaluation Protocol,Zida Yang; Guquan You; Jiexin Zheng; Yijie Peng,EMNLP/2026/Workshop/GroundLM_ARR_Commitment,Track 2: ARR Commitment,25,Accept,archival,long,pass,All Clear!,https://openreview.net/forum?id=oLDghRrpZh,all_papers/078/paper.pdf,all_papers/078/supplementary/Supplementary_material.zip,b1fc06887fb018e8a7ecf2bb687cd3cc91149edcfc124162271d7a9c489cc93f,2026-09-24T23:18:44Z
079,Evidence-Indexed Slide Narration With Heuristic Checks and Template Fallback,Sachin Gupta,EMNLP/2026/Workshop/GroundLM_ARR_Commitment,Track 2: ARR Commitment,27,Accept,archival,long,pass,All Clear!,https://openreview.net/forum?id=3NBqoPGx8D,all_papers/079/paper.pdf,all_papers/079/supplementary/Supplementary_material.zip,e7651f1dd8d4d10f79b4e67f10f7e8dfde3383bd0ca7ad3a598457b5ffd38a5e,2026-09-23T14:35:09Z
080,Default Zero-Shot LLM APIs Over-Flag Indian Financial SMS: A Policy-Aligned Benchmark and Template-Level Pre-Deployment Audit,Sachin Gupta,EMNLP/2026/Workshop/GroundLM_ARR_Commitment,Track 2: ARR Commitment,28,Accept,archival,long,pass,All Clear!,https://openreview.net/forum?id=tfVSGq4jUZ,all_papers/080/paper.pdf,all_papers/080/supplementary/Supplementary_material.zip,11cda43d093a3a5c9043fc6fe366998e006e1f04cebbc2bb2f862701469a16e9,2026-09-23T14:35:14Z
081,PageRecall: Measuring Page Selection in Literature-Grounded Question Answering,Aaditya Chauhan,EMNLP/2026/Workshop/GroundLM_Shared_Tasks,Shared Tasks,1,Accept,archival,long,pass,All Clear!,https://openreview.net/forum?id=ls5Pbg3hmr,all_papers/081/paper.pdf,,33ae3414217b69d493d8565ebd17cc5710973e7fbc9ca897b650d1e02fee5bde,2026-09-23T14:35:17Z
082,CoVeR-VQA: Multi-Stage Evidence Verification for GoldenViewVQA,Kun Wang; Yupeng Hu; Ruping Cao; Hao Liu; Zhiran Li; Qianlong Xiang; Harry Cheng,EMNLP/2026/Workshop/GroundLM_Shared_Tasks,Shared Tasks,3,Accept,archival,long,pass,All Clear!,https://openreview.net/forum?id=POfk9xUI2u,all_papers/082/paper.pdf,,1f1a70c7e2130847055d2552912bc0c2683e70ddfad03c37b2112805cf636df3,2026-09-23T14:35:21Z
083,A Non-Visual Baseline for Multi-View Visual Question Answering on GoldenViewVQA,Aravind Mandiga,EMNLP/2026/Workshop/GroundLM_Shared_Tasks,Shared Tasks,4,Accept,archival,long,pass,All Clear!,https://openreview.net/forum?id=i4eqjouBvv,all_papers/083/paper.pdf,,9e2615752001b0faa276ef1ab18c43c5df4e76b7d3c36e9953094e4591b10860,2026-09-23T14:35:24Z
084,ThousandOfWind at GroundLM 2026 Shared Task: An Auditable Hybrid Pipeline for LitTraceQA,zhiruizhu,EMNLP/2026/Workshop/GroundLM_Shared_Tasks,Shared Tasks,5,Accept,archival,long,pass,All Clear!,https://openreview.net/forum?id=dLSqCYXlw9,all_papers/084/paper.pdf,,7440503bb87acaabca612825460916edc87c1009d17278492ca9130fa5a6528c,2026-09-23T14:35:27Z
085,Maddies at GroundLM 2026 Shared Tasks: Answer-Preserving Visual Re-grounding for Multi-View Driving VQA,Aditya Channa; Madhav Kapoor; Jastej Singh,EMNLP/2026/Workshop/GroundLM_Shared_Tasks,Shared Tasks,6,Accept,archival,long,pass,All Clear!,https://openreview.net/forum?id=9lnriYsq8u,all_papers/085/paper.pdf,,be1b19805dbe904738a18a041b2aba9aa6f9916e4360ccdaeb90c29ae7966926,2026-09-26T01:38:50Z
086,"TRACE: Target-Aware Retrieval, Attributed Evidence, and Contract-Constrained Extraction for LitTraceQA",Sachin Gupta; Divya Godara,EMNLP/2026/Workshop/GroundLM_Shared_Tasks,Shared Tasks,7,Accept,archival,long,pass,All Clear!,https://openreview.net/forum?id=oqkVkV2x82,all_papers/086/paper.pdf,,cf4a21fd1bfffa035cc50e68492d8d698530f76b08f058bf3a6cd3e132aedda5,2026-09-23T14:35:34Z
087,SAGE: Slot-Aware Grounded Evidence Acquisition for LitTraceQA,Gang Xu; Ce Huang; Yushan Pan; Wei Wang,EMNLP/2026/Workshop/GroundLM_Shared_Tasks,Shared Tasks,8,Accept,archival,long,pass,All Clear!,https://openreview.net/forum?id=I99bgQMSKW,all_papers/087/paper.pdf,,90a0feac2594aab60138b3ff4bd22a13f94dfc1145c7c536a025f9218e5f4d41,2026-09-23T14:35:37Z
088,OdeD at GroundLM 2026 Shared Tasks: Reading the Scorer for Literature-Grounded QA,Omar Mokhtar Gaber Saqr; Mostafa Gaafar,EMNLP/2026/Workshop/GroundLM_Shared_Tasks,Shared Tasks,9,Accept,archival,long,pass,All Clear!,https://openreview.net/forum?id=BMH2uTgrew,all_papers/088/paper.pdf,,094f986eae2c72a100f7dc3b5cbef6ec10bf2de061eba911d4c67fd1f1b35420,2026-09-23T14:35:41Z
089,Lit3R: Retrieve–Relate–Read for Evidence-Grounded Question Answering over Scientific Literature,Akira Ise; Kotaro Kumagai; Yuta Yamaguchi; Hisanori Ozaki; Yukio Uematsu; Ikuya Yamada,EMNLP/2026/Workshop/GroundLM_Shared_Tasks,Shared Tasks,10,Accept,archival,long,pass,All Clear!,https://openreview.net/forum?id=IjqWQy8QpA,all_papers/089/paper.pdf,,5b556dcdd47c1b97b3bda1b41452af4357fa1f9452ef3ecc2bb6f9286099a5fe,2026-09-23T14:35:44Z
090,Ensar at GroundLM 2026 Shared Tasks: Symbolic Scene Serialisation for View-Level Evidence Identification,Mostafa Gaafar; Omar Mokhtar Gaber Saqr,EMNLP/2026/Workshop/GroundLM_Shared_Tasks,Shared Tasks,11,Accept,archival,long,pass,All Clear!,https://openreview.net/forum?id=5fLV7SneqK,all_papers/090/paper.pdf,,7c2542f7d2fd34783f64b4ddf26cd215dd87efeace6e83db5a31f023246aa6a9,2026-09-23T14:35:48Z
091,Efficient Adaptation of Small Language Models for Reliable Mathematical Reasoning,Kanak Anil Malpani,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,32,Accept,archival,long,pass,All Clear!,https://openreview.net/forum?id=EvaE16pDGn,all_papers/091/paper.pdf,,2ec5ba699d3567e7f5ec3d42e0a9f9e14e42e8d5f43ee7e30a53304f52d139f8,2026-09-24T23:32:05Z
